date,city,temp_c,rain_mm,humidity_pct,pressure_hpa,wind_kmh,aqi
2022-02-07,Delhi,16.5,0.0,52.0,1014.5,0.9,200.0
2022-02-08,Delhi,14.2,0.2,57.0,1009.7,4.9,239.0
2022-02-09,Delhi,15.0,3.8,50.0,1005.4,5.3,205.0
2022-02-10,Delhi,15.5,1.4,70.0,1008.3,12.5,218.0
2022-02-11,Delhi,15.5,3.1,62.0,1012.6,16.0,192.0
2022-02-12,Delhi,13.5,0.3,64.0,1007.2,3.8,207.0
2022-02-13,Delhi,15.7,1.6,46.0,1007.4,5.5,210.0
2022-02-14,Delhi,17.9,6.1,48.0,1004.5,6.4,210.0
2022-02-15,Delhi,13.3,0.4,63.0,1005.4,5.5,206.0
2022-02-16,Delhi,17.3,0.1,54.0,1013.3,1.5,219.0
2022-02-17,Delhi,16.2,3.7,53.0,1011.7,7.5,244.0
2022-02-18,Delhi,15.1,1.3,57.0,1005.1,8.7,215.0
2022-02-19,Delhi,19.4,0.0,46.0,1005.4,8.8,215.0
2022-02-20,Delhi,17.5,0.6,60.0,1007.4,1.7,211.0
2022-02-21,Delhi,14.5,1.2,55.0,1011.8,6.6,263.0
2022-02-22,Delhi,16.7,0.0,58.0,1004.8,0.7,247.0
2022-02-23,Delhi,17.6,3.9,50.0,1008.7,11.2,228.0
2022-02-24,Delhi,16.5,0.7,58.0,1000.7,2.5,231.0
2022-02-25,Delhi,18.0,0.4,49.0,1004.2,5.9,206.0
2022-02-26,Delhi,17.0,1.5,61.0,1010.8,5.1,216.0
2022-02-27,Delhi,18.3,1.7,62.0,1012.7,4.5,223.0
2022-02-28,Delhi,19.6,0.0,60.0,1004.3,2.4,221.0
2022-03-01,Delhi,16.4,2.0,57.0,1005.8,0.8,204.0
2022-03-02,Delhi,17.9,0.5,58.0,1012.0,14.9,205.0
2022-03-03,Delhi,17.0,1.0,35.0,1007.1,8.3,228.0
2022-03-04,Delhi,18.1,1.3,59.0,1006.5,8.3,225.0
2022-03-05,Delhi,16.1,1.5,51.0,1010.6,16.6,182.0
2022-03-06,Delhi,17.3,0.4,54.0,1009.2,6.7,221.0
2022-03-07,Delhi,18.0,0.6,51.0,1012.8,9.6,242.0
2022-03-08,Delhi,19.9,0.2,43.0,1011.4,7.2,208.0
2022-03-09,Delhi,20.5,0.5,49.0,1005.8,12.5,224.0
2022-03-10,Delhi,16.7,2.7,57.0,1007.6,9.4,194.0
2022-03-11,Delhi,17.7,0.3,63.0,1007.7,8.6,234.0
2022-03-12,Delhi,20.2,0.5,48.0,1002.4,6.0,200.0
2022-03-13,Delhi,16.1,7.6,46.0,1003.9,8.4,197.0
2022-03-14,Delhi,18.7,2.2,63.0,1011.6,12.4,213.0
2022-03-15,Delhi,19.5,3.3,46.0,1001.2,2.2,261.0
2022-03-16,Delhi,21.8,1.5,67.0,1011.5,6.6,208.0
2022-03-17,Delhi,21.0,0.7,52.0,1008.5,5.3,196.0
2022-03-18,Delhi,19.6,0.1,46.0,1006.7,5.8,227.0
2022-03-19,Delhi,19.7,2.1,59.0,1009.3,1.7,222.0
2022-03-20,Delhi,20.1,1.2,64.0,1009.0,10.4,247.0
2022-03-21,Delhi,23.1,1.2,42.0,1011.8,3.3,196.0
2022-03-22,Delhi,20.1,1.2,63.0,1005.3,6.1,190.0
2022-03-23,Delhi,20.5,1.0,50.0,1005.9,4.9,212.0
2022-03-24,Delhi,21.7,0.1,62.0,1005.7,0.4,224.0
2022-03-25,Delhi,21.1,0.5,49.0,1014.1,5.1,223.0
2022-03-26,Delhi,21.2,0.4,40.0,1010.3,1.1,236.0
2022-03-27,Delhi,19.9,0.7,55.0,1002.7,2.9,190.0
2022-03-28,Delhi,21.9,4.7,58.0,1004.9,5.7,201.0
2022-03-29,Delhi,21.3,0.0,66.0,1003.3,7.1,213.0
2022-03-30,Delhi,24.1,0.4,63.0,1006.1,7.4,230.0
2022-03-31,Delhi,23.5,0.6,56.0,1006.8,6.5,223.0
2022-04-01,Delhi,22.6,1.4,49.0,1015.1,16.8,207.0
2022-04-02,Delhi,23.9,1.3,47.0,998.4,9.1,196.0
2022-04-03,Delhi,22.4,1.3,49.0,1009.8,1.7,229.0
2022-04-04,Delhi,24.8,1.0,45.0,1007.3,4.4,230.0
2022-04-05,Delhi,23.3,0.6,49.0,1002.6,4.2,261.0
2022-04-06,Delhi,24.5,1.2,33.0,1004.7,6.4,209.0
2022-04-07,Delhi,21.7,0.3,52.0,1003.3,4.4,241.0
2022-04-08,Delhi,24.5,3.8,50.0,1005.3,3.3,190.0
2022-04-09,Delhi,21.4,0.3,68.0,1009.1,14.6,201.0
2022-04-10,Delhi,21.0,0.0,56.0,998.8,7.3,198.0
2022-04-11,Delhi,24.0,0.2,47.0,1010.1,5.6,202.0
2022-04-12,Delhi,23.2,11.5,54.0,1003.2,6.0,194.0
2022-04-13,Delhi,25.1,2.1,42.0,1010.7,6.2,199.0
2022-04-14,Delhi,28.6,0.9,46.0,1006.2,13.4,207.0
2022-04-15,Delhi,23.9,0.2,37.0,1009.4,9.3,200.0
2022-04-16,Delhi,24.4,1.7,60.0,1006.6,12.2,219.0
2022-04-17,Delhi,25.9,0.2,54.0,1008.6,6.9,205.0
2022-04-18,Delhi,26.6,3.3,42.0,1004.4,8.6,206.0
2022-04-19,Delhi,25.7,1.7,50.0,1000.7,11.9,231.0
2022-04-20,Delhi,25.9,0.1,57.0,1006.6,16.0,210.0
2022-04-21,Delhi,27.5,1.0,54.0,1006.7,7.3,207.0
2022-04-22,Delhi,27.4,0.2,53.0,1012.2,0.6,203.0
2022-04-23,Delhi,25.1,0.0,44.0,995.6,9.8,204.0
2022-04-24,Delhi,26.8,0.5,46.0,1002.8,4.5,212.0
2022-04-25,Delhi,27.2,0.2,51.0,1007.7,0.9,187.0
2022-04-26,Delhi,25.6,1.3,56.0,998.4,4.4,221.0
2022-04-27,Delhi,27.9,0.1,44.0,1002.4,11.9,227.0
2022-04-28,Delhi,26.3,1.7,42.0,1011.7,12.6,219.0
2022-04-29,Delhi,29.4,0.0,58.0,1008.8,10.4,190.0
2022-04-30,Delhi,28.3,0.2,43.0,999.5,2.4,169.0
2022-05-01,Delhi,28.4,2.4,58.0,1008.6,18.5,189.0
2022-05-02,Delhi,27.5,2.7,52.0,1007.6,1.9,199.0
2022-05-03,Delhi,28.4,0.1,56.0,1005.9,6.8,210.0
2022-05-04,Delhi,25.6,1.6,62.0,1004.2,0.7,191.0
2022-05-05,Delhi,27.1,1.4,55.0,1003.5,13.1,188.0
2022-05-06,Delhi,29.7,0.2,55.0,999.0,9.2,220.0
2022-05-07,Delhi,25.9,0.7,44.0,1000.3,11.2,180.0
2022-05-08,Delhi,30.8,0.3,45.0,1005.3,7.6,210.0
2022-05-09,Delhi,26.8,0.6,55.0,1002.8,6.9,206.0
2022-05-10,Delhi,31.0,0.5,61.0,1009.6,8.0,166.0
2022-05-11,Delhi,28.6,1.3,60.0,1000.7,1.3,194.0
2022-05-12,Delhi,31.4,0.4,66.0,992.4,11.6,178.0
2022-05-13,Delhi,30.5,0.0,52.0,1000.6,11.3,170.0
2022-05-14,Delhi,28.0,3.2,52.0,1003.0,5.4,153.0
2022-05-15,Delhi,32.6,2.2,57.0,1003.3,7.1,158.0
2022-05-16,Delhi,33.1,0.3,50.0,1002.0,8.5,192.0
2022-05-17,Delhi,30.9,0.1,50.0,998.3,14.2,177.0
2022-05-18,Delhi,30.7,0.3,43.0,1007.5,9.1,187.0
2022-05-19,Delhi,31.0,0.3,57.0,998.8,7.4,163.0
2022-05-20,Delhi,29.9,5.6,43.0,1004.3,4.9,175.0
2022-05-21,Delhi,33.3,7.6,54.0,1000.2,0.4,175.0
2022-05-22,Delhi,30.9,1.1,41.0,996.5,4.5,152.0
2022-05-23,Delhi,31.8,0.1,58.0,1006.9,7.5,149.0
2022-05-24,Delhi,30.8,0.0,44.0,991.1,6.1,185.0
2022-05-25,Delhi,31.2,0.4,57.0,997.7,7.5,179.0
2022-05-26,Delhi,30.3,0.7,40.0,1002.8,10.5,159.0
2022-05-27,Delhi,34.5,0.0,48.0,999.6,9.2,173.0
2022-05-28,Delhi,32.3,0.3,59.0,1003.9,8.4,185.0
2022-05-29,Delhi,34.3,0.0,45.0,1000.5,10.2,205.0
2022-05-30,Delhi,32.9,1.5,52.0,999.0,8.0,156.0
2022-05-31,Delhi,31.9,2.0,48.0,1009.4,7.1,181.0
2022-06-01,Delhi,32.6,0.7,35.0,999.8,9.3,207.0
2022-06-02,Delhi,32.4,1.3,54.0,1000.0,0.6,170.0
2022-06-03,Delhi,,2.2,,,12.8,
2022-06-04,Delhi,32.9,0.0,44.0,997.6,1.4,121.0
2022-06-05,Delhi,33.1,0.2,56.0,1003.1,11.0,191.0
2022-06-06,Delhi,31.5,1.7,46.0,1002.7,7.3,165.0
2022-06-07,Delhi,32.6,1.4,45.0,1000.4,12.2,131.0
2022-06-08,Delhi,36.6,0.4,52.0,997.6,7.4,177.0
2022-06-09,Delhi,33.0,0.2,47.0,1003.1,3.0,181.0
2022-06-10,Delhi,32.5,1.9,68.0,993.5,12.0,182.0
2022-06-11,Delhi,34.8,0.2,41.0,998.9,8.0,181.0
2022-06-12,Delhi,36.6,1.3,57.0,999.2,7.8,159.0
2022-06-13,Delhi,32.1,1.6,59.0,996.8,7.6,145.0
2022-06-14,Delhi,34.2,0.1,39.0,1000.8,11.7,149.0
2022-06-15,Delhi,33.6,0.2,40.0,997.5,10.9,156.0
2022-06-16,Delhi,31.9,0.0,57.0,996.9,8.3,163.0
2022-06-17,Delhi,36.0,2.3,49.0,1007.3,0.2,146.0
2022-06-18,Delhi,34.9,0.9,55.0,1003.1,5.4,155.0
2022-06-19,Delhi,35.1,0.3,61.0,1004.9,7.7,168.0
2022-06-20,Delhi,33.9,3.2,50.0,1000.3,15.3,158.0
2022-06-21,Delhi,35.9,0.1,46.0,1003.9,9.0,191.0
2022-06-22,Delhi,34.4,1.0,34.0,1003.1,6.8,188.0
2022-06-23,Delhi,35.1,0.4,55.0,1004.9,12.6,129.0
2022-06-24,Delhi,33.6,1.2,47.0,1009.5,6.7,138.0
2022-06-25,Delhi,33.5,0.4,56.0,999.1,7.1,124.0
2022-06-26,Delhi,37.6,1.3,55.0,1001.0,7.9,126.0
2022-06-27,Delhi,34.7,0.1,44.0,999.8,0.5,155.0
2022-06-28,Delhi,36.1,0.6,66.0,985.9,11.6,127.0
2022-06-29,Delhi,35.6,0.1,62.0,994.4,9.2,125.0
2022-06-30,Delhi,35.0,0.3,60.0,1000.0,6.0,138.0
2022-07-01,Delhi,34.9,0.0,46.0,1002.5,2.1,156.0
2022-07-02,Delhi,36.8,2.3,52.0,997.7,8.2,135.0
2022-07-03,Delhi,35.3,0.5,51.0,1004.5,13.5,134.0
2022-07-04,Delhi,35.6,0.7,52.0,1005.1,4.4,156.0
2022-07-05,Delhi,35.9,3.0,47.0,998.3,2.5,147.0
2022-07-06,Delhi,37.8,3.7,58.0,1005.7,9.1,146.0
2022-07-07,Delhi,37.0,1.2,57.0,1007.0,0.2,154.0
2022-07-08,Delhi,36.6,2.2,58.0,1001.9,2.7,118.0
2022-07-09,Delhi,35.1,0.6,52.0,996.1,5.3,139.0
2022-07-10,Delhi,33.8,0.5,64.0,1005.9,4.1,123.0
2022-07-11,Delhi,37.5,0.6,57.0,999.4,6.0,152.0
2022-07-12,Delhi,37.5,1.9,37.0,998.6,4.8,147.0
2022-07-13,Delhi,35.8,0.1,51.0,1000.6,8.7,114.0
2022-07-14,Delhi,36.9,0.4,56.0,998.0,6.3,155.0
2022-07-15,Delhi,37.2,6.7,63.0,1004.4,4.6,110.0
2022-07-16,Delhi,37.3,7.7,54.0,1003.3,5.2,151.0
2022-07-17,Delhi,,1.3,,,10.1,
2022-07-18,Delhi,35.2,2.6,52.0,1002.6,11.6,113.0
2022-07-19,Delhi,38.4,0.0,61.0,997.1,11.3,108.0
2022-07-20,Delhi,33.9,0.3,54.0,999.7,10.4,122.0
2022-07-21,Delhi,37.3,0.0,53.0,1003.8,7.6,126.0
2022-07-22,Delhi,36.7,3.9,52.0,998.7,2.8,113.0
2022-07-23,Delhi,37.3,1.1,61.0,1012.1,5.8,135.0
2022-07-24,Delhi,38.8,0.1,54.0,999.5,8.2,100.0
2022-07-25,Delhi,38.2,1.8,46.0,998.1,0.2,124.0
2022-07-26,Delhi,33.9,0.1,62.0,1005.1,13.7,123.0
2022-07-27,Delhi,33.0,0.4,53.0,1003.6,8.6,89.0
2022-07-28,Delhi,37.0,0.0,60.0,1000.5,4.5,127.0
2022-07-29,Delhi,34.0,0.5,61.0,999.7,8.0,99.0
2022-07-30,Delhi,35.6,0.4,67.0,1002.4,5.7,76.0
2022-07-31,Delhi,36.9,0.4,66.0,1004.1,3.8,109.0
2022-08-01,Delhi,32.8,0.6,54.0,1003.9,9.5,116.0
2022-08-02,Delhi,32.0,2.2,57.0,999.7,5.2,135.0
2022-08-03,Delhi,35.8,0.5,50.0,1002.6,0.9,110.0
2022-08-04,Delhi,35.4,1.8,71.0,1004.3,4.4,144.0
2022-08-05,Delhi,34.8,2.4,62.0,1004.1,6.8,143.0
2022-08-06,Delhi,35.2,1.5,69.0,988.7,2.4,136.0
2022-08-07,Delhi,33.7,1.4,57.0,997.6,12.9,140.0
2022-08-08,Delhi,32.6,0.2,45.0,998.1,2.4,122.0
2022-08-09,Delhi,34.6,1.2,70.0,1000.3,15.2,106.0
2022-08-10,Delhi,33.3,2.0,60.0,1002.1,11.3,127.0
2022-08-11,Delhi,32.1,1.1,61.0,1005.1,3.0,132.0
2022-08-12,Delhi,35.5,0.0,60.0,1003.9,7.9,119.0
2022-08-13,Delhi,34.5,0.2,65.0,1001.0,12.6,110.0
2022-08-14,Delhi,35.1,0.1,64.0,1001.7,6.4,86.0
2022-08-15,Delhi,32.8,0.3,49.0,1008.7,1.9,125.0
2022-08-16,Delhi,33.2,0.7,68.0,999.3,7.8,119.0
2022-08-17,Delhi,32.6,0.2,57.0,1003.0,16.2,90.0
2022-08-18,Delhi,32.6,1.6,57.0,1008.2,0.6,114.0
2022-08-19,Delhi,34.3,0.0,73.0,1003.4,9.8,125.0
2022-08-20,Delhi,32.6,0.9,67.0,993.9,7.3,110.0
2022-08-21,Delhi,34.3,0.5,59.0,1003.6,6.8,125.0
2022-08-22,Delhi,34.2,0.7,48.0,1000.7,5.5,125.0
2022-08-23,Delhi,36.7,0.2,62.0,1001.8,5.9,85.0
2022-08-24,Delhi,31.1,2.0,65.0,1006.6,12.0,105.0
2022-08-25,Delhi,34.7,0.0,61.0,1004.3,10.0,119.0
2022-08-26,Delhi,,0.7,,,2.8,
2022-08-27,Delhi,33.0,0.0,56.0,1006.2,14.3,135.0
2022-08-28,Delhi,30.5,0.1,53.0,1004.4,1.5,76.0
2022-08-29,Delhi,32.0,2.0,64.0,1003.2,10.3,109.0
2022-08-30,Delhi,33.8,0.2,68.0,1004.1,8.1,123.0
2022-08-31,Delhi,32.3,1.4,69.0,1004.0,12.7,131.0
2022-09-01,Delhi,32.4,0.5,57.0,1001.7,8.9,140.0
2022-09-02,Delhi,31.7,0.0,64.0,1001.3,12.1,93.0
2022-09-03,Delhi,33.9,0.2,67.0,1003.3,7.2,103.0
2022-09-04,Delhi,31.8,0.0,59.0,999.5,11.7,91.0
2022-09-05,Delhi,28.2,1.1,62.0,998.4,8.9,124.0
2022-09-06,Delhi,30.5,2.7,78.0,1008.7,17.0,86.0
2022-09-07,Delhi,28.3,1.4,65.0,1002.7,4.2,131.0
2022-09-08,Delhi,26.1,3.5,69.0,1003.6,12.7,126.0
2022-09-09,Delhi,30.3,1.6,60.0,1003.3,9.4,118.0
2022-09-10,Delhi,33.1,0.9,64.0,1004.0,8.1,71.0
2022-09-11,Delhi,30.9,0.6,51.0,1004.1,4.8,98.0
2022-09-12,Delhi,28.8,0.5,63.0,1004.4,9.3,123.0
2022-09-13,Delhi,29.0,0.6,72.0,1001.0,0.7,85.0
2022-09-14,Delhi,32.1,0.4,78.0,1008.0,1.2,106.0
2022-09-15,Delhi,30.4,0.2,72.0,1001.6,10.5,108.0
2022-09-16,Delhi,30.0,0.2,69.0,1008.6,0.3,126.0
2022-09-17,Delhi,29.7,0.0,64.0,996.9,13.8,116.0
2022-09-18,Delhi,29.7,0.7,60.0,1000.4,6.1,116.0
2022-09-19,Delhi,30.7,0.2,63.0,1008.8,8.5,103.0
2022-09-20,Delhi,30.2,0.6,69.0,1004.3,7.7,111.0
2022-09-21,Delhi,29.5,0.5,59.0,1002.3,9.2,109.0
2022-09-22,Delhi,27.3,0.4,71.0,1006.6,6.1,125.0
2022-09-23,Delhi,29.6,0.1,58.0,1001.0,5.7,109.0
2022-09-24,Delhi,27.5,0.9,52.0,1005.6,6.8,131.0
2022-09-25,Delhi,30.1,0.4,58.0,996.5,12.1,82.0
2022-09-26,Delhi,26.2,5.9,53.0,1003.7,12.4,134.0
2022-09-27,Delhi,27.8,2.6,55.0,1003.0,13.1,110.0
2022-09-28,Delhi,27.8,0.0,73.0,1007.9,9.0,133.0
2022-09-29,Delhi,25.6,0.3,64.0,1009.3,6.4,115.0
2022-09-30,Delhi,30.2,0.0,67.0,1002.5,0.2,129.0
2022-10-01,Delhi,29.6,0.0,73.0,1012.5,10.2,141.0
2022-10-02,Delhi,26.4,1.3,74.0,1003.8,11.1,105.0
2022-10-03,Delhi,28.2,2.8,62.0,998.0,5.5,117.0
2022-10-04,Delhi,27.4,0.3,75.0,996.8,11.0,113.0
2022-10-05,Delhi,22.4,5.0,68.0,1012.6,13.1,120.0
2022-10-06,Delhi,26.8,0.3,65.0,1006.2,7.8,88.0
2022-10-07,Delhi,26.1,0.0,69.0,1004.1,12.1,114.0
2022-10-08,Delhi,26.1,1.2,56.0,1003.8,8.7,113.0
2022-10-09,Delhi,24.1,0.8,60.0,1002.5,0.5,104.0
2022-10-10,Delhi,25.2,4.6,65.0,1012.4,5.2,115.0
2022-10-11,Delhi,25.1,0.1,70.0,1006.7,5.5,92.0
2022-10-12,Delhi,27.1,0.3,63.0,1014.3,9.7,145.0
2022-10-13,Delhi,25.6,0.1,65.0,1006.5,3.5,128.0
2022-10-14,Delhi,24.8,0.2,73.0,998.0,5.4,154.0
2022-10-15,Delhi,27.1,0.0,76.0,1010.8,3.0,106.0
2022-10-16,Delhi,23.6,2.7,71.0,1006.1,7.2,101.0
2022-10-17,Delhi,23.7,0.9,75.0,1006.7,7.7,128.0
2022-10-18,Delhi,21.2,1.4,63.0,1014.0,11.7,94.0
2022-10-19,Delhi,26.4,0.4,64.0,1006.8,10.9,128.0
2022-10-20,Delhi,25.3,0.2,68.0,1012.6,8.1,112.0
2022-10-21,Delhi,25.0,4.1,64.0,1008.0,8.4,119.0
2022-10-22,Delhi,24.4,0.3,62.0,1005.1,7.8,130.0
2022-10-23,Delhi,23.3,0.6,78.0,1010.3,7.9,127.0
2022-10-24,Delhi,,0.3,,,14.3,452.0
2022-10-25,Delhi,22.4,0.3,59.0,1013.3,3.8,139.0
2022-10-26,Delhi,22.3,5.9,69.0,1012.4,6.6,106.0
2022-10-27,Delhi,22.5,2.3,79.0,1008.9,8.8,147.0
2022-10-28,Delhi,24.7,1.6,67.0,1011.2,12.4,106.0
2022-10-29,Delhi,22.9,2.7,75.0,1011.1,2.4,132.0
2022-10-30,Delhi,21.8,1.5,63.0,1007.8,8.9,109.0
2022-10-31,Delhi,20.8,0.2,63.0,1012.6,11.2,118.0
2022-11-01,Delhi,20.5,0.1,61.0,1008.2,5.3,157.0
2022-11-02,Delhi,23.9,0.5,65.0,1011.6,1.2,124.0
2022-11-03,Delhi,22.0,2.0,79.0,1005.4,5.7,123.0
2022-11-04,Delhi,21.1,0.2,58.0,1009.7,1.9,126.0
2022-11-05,Delhi,20.2,3.8,77.0,1011.1,10.3,131.0
2022-11-06,Delhi,18.9,0.3,59.0,1006.4,3.5,163.0
2022-11-07,Delhi,20.3,2.7,64.0,1007.9,15.4,117.0
2022-11-08,Delhi,21.7,2.3,72.0,1007.5,8.0,117.0
2022-11-09,Delhi,19.5,0.6,70.0,1012.7,3.7,150.0
2022-11-10,Delhi,19.6,0.4,68.0,1007.0,5.1,112.0
2022-11-11,Delhi,19.4,1.1,54.0,1011.7,2.4,135.0
2022-11-12,Delhi,19.8,0.7,68.0,1016.1,9.1,162.0
2022-11-13,Delhi,16.9,0.0,59.0,1011.5,14.1,143.0
2022-11-14,Delhi,18.9,2.5,84.0,1003.7,6.4,135.0
2022-11-15,Delhi,17.8,1.5,64.0,1010.7,11.5,9999.0
2022-11-16,Delhi,20.4,2.5,67.0,1014.5,3.1,129.0
2022-11-17,Delhi,17.6,4.3,58.0,1009.2,8.7,136.0
2022-11-18,Delhi,19.6,2.1,62.0,1014.9,17.7,150.0
2022-11-19,Delhi,20.9,0.3,56.0,1013.0,1.0,171.0
2022-11-20,Delhi,17.8,0.2,72.0,1012.3,12.9,166.0
2022-11-21,Delhi,17.2,0.0,64.0,1009.6,12.6,140.0
2022-11-22,Delhi,18.4,0.5,69.0,1008.7,1.1,138.0
2022-11-23,Delhi,17.9,0.2,60.0,1009.8,0.9,164.0
2022-11-24,Delhi,16.2,1.8,62.0,1011.1,3.0,121.0
2022-11-25,Delhi,18.4,0.9,74.0,1013.0,11.7,146.0
2022-11-26,Delhi,20.7,0.8,58.0,1012.7,5.4,149.0
2022-11-27,Delhi,16.9,0.2,52.0,1009.8,6.6,136.0
2022-11-28,Delhi,16.9,1.3,68.0,1011.4,10.5,139.0
2022-11-29,Delhi,15.4,7.2,57.0,1012.7,7.9,164.0
2022-11-30,Delhi,17.5,0.2,62.0,1004.7,8.4,129.0
2022-12-01,Delhi,14.8,2.4,71.0,1008.2,5.9,143.0
2022-12-02,Delhi,14.9,4.5,59.0,1008.1,12.4,149.0
2022-12-03,Delhi,18.6,0.7,71.0,1010.5,3.8,163.0
2022-12-04,Delhi,15.0,4.5,60.0,1010.3,14.9,138.0
2022-12-05,Delhi,18.1,0.9,75.0,1010.4,5.8,182.0
2022-12-06,Delhi,18.7,0.8,74.0,1008.0,3.8,159.0
2022-12-07,Delhi,16.5,4.1,61.0,1014.2,10.3,160.0
2022-12-08,Delhi,16.9,1.7,63.0,1012.7,9.4,159.0
2022-12-09,Delhi,19.0,0.0,58.0,1005.1,1.6,155.0
2022-12-10,Delhi,15.5,0.5,65.0,1011.7,8.3,150.0
2022-12-11,Delhi,14.7,0.2,72.0,1007.2,1.3,189.0
2022-12-12,Delhi,13.4,2.5,54.0,1018.6,3.6,173.0
2022-12-13,Delhi,15.5,0.2,70.0,1010.0,10.9,169.0
2022-12-14,Delhi,17.8,2.9,54.0,1010.2,3.5,189.0
2022-12-15,Delhi,16.8,2.5,57.0,1012.2,8.9,160.0
2022-12-16,Delhi,13.7,0.3,51.0,1011.1,5.6,184.0
2022-12-17,Delhi,13.8,1.2,78.0,1011.7,16.0,175.0
2022-12-18,Delhi,14.2,3.5,64.0,1018.1,6.9,159.0
2022-12-19,Delhi,,1.7,,,2.0,
2022-12-20,Delhi,14.6,0.4,58.0,1015.3,2.4,150.0
2022-12-21,Delhi,15.2,3.9,70.0,1016.5,3.2,189.0
2022-12-22,Delhi,15.2,0.1,48.0,1008.1,7.9,163.0
2022-12-23,Delhi,14.2,0.3,63.0,1018.8,7.3,187.0
2022-12-24,Delhi,14.5,1.8,78.0,1014.8,11.7,205.0
2022-12-25,Delhi,14.9,0.1,60.0,1015.9,8.1,192.0
2022-12-26,Delhi,14.4,2.2,62.0,1008.6,7.9,172.0
2022-12-27,Delhi,15.2,3.3,67.0,1015.3,8.8,183.0
2022-12-28,Delhi,17.4,0.4,56.0,1013.7,6.7,178.0
2022-12-29,Delhi,15.3,0.1,62.0,1009.9,8.6,164.0
2022-12-30,Delhi,14.4,0.2,68.0,1021.2,10.8,166.0
2022-12-31,Delhi,11.6,0.6,63.0,1014.3,10.8,187.0
2023-01-01,Delhi,14.8,1.2,64.0,1011.1,4.8,197.0
2023-01-02,Delhi,11.1,3.6,59.0,1012.8,0.7,157.0
2023-01-03,Delhi,11.9,3.9,63.0,1015.7,3.7,188.0
2023-01-04,Delhi,15.5,2.2,62.0,1016.6,8.6,199.0
2023-01-05,Delhi,15.2,0.7,71.0,1014.4,3.9,193.0
2023-01-06,Delhi,13.8,0.9,66.0,1016.9,5.1,174.0
2023-01-07,Delhi,11.3,2.1,59.0,1017.9,9.3,211.0
2023-01-08,Delhi,13.4,2.6,44.0,1007.1,4.7,172.0
2023-01-09,Delhi,12.9,0.2,66.0,1010.1,2.3,205.0
2023-01-10,Delhi,15.0,0.0,66.0,1008.2,15.2,223.0
2023-01-11,Delhi,17.6,0.8,54.0,1012.4,13.5,159.0
2023-01-12,Delhi,14.3,2.0,46.0,1017.7,6.1,201.0
2023-01-13,Delhi,12.8,0.1,52.0,1014.5,13.2,203.0
2023-01-14,Delhi,12.1,0.0,66.0,1007.7,13.1,202.0
